REGIAO;MES;ANO;PRECIPITACAO TOTAL
sul_fronteira;1;2010;811.2000000000005
sul_fronteira;1;2016;426.5999999999996
sul_fronteira;1;2018;797.4000000000002
sul_fronteira;1;2019;518.3999999999999
sul_fronteira;1;2012;371.3999999999997
sul_fronteira;1;2015;539.9999999999999
sul_fronteira;1;2017;416.9999999999997
sul_fronteira;1;2014;580.8
sul_fronteira;1;2013;391.6
sul_fronteira;1;2011;547.5999999999996
sul_fronteira;2;2010;593.1999999999998
sul_fronteira;2;2019;770.4
sul_fronteira;2;2015;588.0000000000002
sul_fronteira;2;2017;592.0000000000008
sul_fronteira;2;2018;460.19999999999976
sul_fronteira;2;2013;324.39999999999964
sul_fronteira;2;2014;337.3999999999995
sul_fronteira;2;2011;803.5999999999996
sul_fronteira;2;2016;755.8000000000004
sul_fronteira;2;2012;319.5999999999995
sul_fronteira;3;2019;1048.000000000001
sul_fronteira;3;2013;641.6000000000003
sul_fronteira;3;2018;417.5999999999991
sul_fronteira;3;2014;676.6000000000001
sul_fronteira;3;2011;196.99999999999997
sul_fronteira;3;2017;510.9999999999986
sul_fronteira;3;2012;352.39999999999986
sul_fronteira;3;2015;401.3999999999965
sul_fronteira;3;2010;413.7999999999998
sul_fronteira;3;2016;370.3999999999997
sul_fronteira;4;2010;232.79999999999993
sul_fronteira;4;2015;481.9999999999968
sul_fronteira;4;2014;329.1999999999999
sul_fronteira;4;2017;650.4000000000008
sul_fronteira;4;2016;340.7999999999999
sul_fronteira;4;2019;556.1999999999998
sul_fronteira;4;2011;321.80000000000007
sul_fronteira;4;2012;751.4000000000005
sul_fronteira;4;2018;125.20000000000009
sul_fronteira;4;2013;580.5999999999997
sul_fronteira;5;2012;202.79999999999993
sul_fronteira;5;2019;770.6000000000001
sul_fronteira;5;2017;431.7999999999964
sul_fronteira;5;2010;648.4000000000002
sul_fronteira;5;2018;357.9999999999991
sul_fronteira;5;2014;332.59999999999945
sul_fronteira;5;2016;859.6000000000013
sul_fronteira;5;2011;22.199999999999992
sul_fronteira;5;2013;456.7999999999993
sul_fronteira;5;2015;744.8000000000094
sul_fronteira;6;2018;173.0000000000003
sul_fronteira;6;2013;528.7999999999993
sul_fronteira;6;2016;132.8000000000001
sul_fronteira;6;2014;262.99999999999955
sul_fronteira;6;2017;199.19999999999976
sul_fronteira;6;2015;189.99999999999864
sul_fronteira;6;2012;501.19999999999914
sul_fronteira;6;2010;70.60000000000008
sul_fronteira;6;2019;170.19999999999987
sul_fronteira;6;2011;211.39999999999984
sul_fronteira;7;2018;13.599999999999996
sul_fronteira;7;2019;87.80000000000013
sul_fronteira;7;2016;93.60000000000001
sul_fronteira;7;2017;11.599999999999996
sul_fronteira;7;2010;230.39999999999995
sul_fronteira;7;2013;50.39999999999999
sul_fronteira;7;2012;105.40000000000009
sul_fronteira;7;2015;334.99999999999864
sul_fronteira;7;2014;454.19999999999976
sul_fronteira;7;2011;389.5999999999996
sul_fronteira;8;2017;250.79999999999973
sul_fronteira;8;2016;526.3999999999994
sul_fronteira;8;2012;55.00000000000001
sul_fronteira;8;2015;63.40000000000006
sul_fronteira;8;2019;45.400000000000006
sul_fronteira;8;2014;54.200000000000024
sul_fronteira;8;2018;272.1999999999993
sul_fronteira;8;2011;204.19999999999962
sul_fronteira;8;2013;16.999999999999982
sul_fronteira;8;2010;6.400000000000001
sul_fronteira;9;2019;66.60000000000002
sul_fronteira;9;2014;585.4000000000003
sul_fronteira;9;2013;246.99999999999986
sul_fronteira;9;2010;351.39999999999975
sul_fronteira;9;2017;54.600000000000016
sul_fronteira;9;2016;147.20000000000005
sul_fronteira;9;2012;167.79999999999998
sul_fronteira;9;2015;403.59999999999985
sul_fronteira;9;2011;144.60000000000005
sul_fronteira;9;2018;901.4000000000012
sul_fronteira;10;2018;984.6000000000013
sul_fronteira;10;2017;460.79999999999944
sul_fronteira;10;2019;309.99999999999994
sul_fronteira;10;2016;627.1999999999997
sul_fronteira;10;2015;561.9999999999998
sul_fronteira;10;2010;164.3999999999999
sul_fronteira;10;2013;541.1999999999999
sul_fronteira;10;2011;672.6000000000003
sul_fronteira;10;2012;681.6000000000001
sul_fronteira;10;2014;246.19999999999982
sul_fronteira;11;2014;733.200000000001
sul_fronteira;11;2011;477.19999999999965
sul_fronteira;11;2016;245.79999999999984
sul_fronteira;11;2010;379.99999999999966
sul_fronteira;11;2015;1203.800000000002
sul_fronteira;11;2018;746.8000000000045
sul_fronteira;11;2012;485.3999999999999
sul_fronteira;11;2017;691.9999999999999
sul_fronteira;11;2013;490.99999999999983
sul_fronteira;11;2019;569.8
sul_fronteira;12;2012;424.9999999999995
sul_fronteira;12;2013;346.1999999999998
sul_fronteira;12;2011;326.99999999999994
sul_fronteira;12;2017;739.0000000000007
sul_fronteira;12;2015;725.8000000000002
sul_fronteira;12;2010;276.59999999999997
sul_fronteira;12;2019;1250.6000000000015
sul_fronteira;12;2014;562.8000000000002
sul_fronteira;12;2018;505.5999999999995
sul_fronteira;12;2016;777.0000000000006
