REGIAO;ANO;MES;PRECIPITACAO TOTAL
campo_grande;2018;1;171.59999999999965
campo_grande;2015;1;297.19999999999953
campo_grande;2014;1;344.99999999999983
campo_grande;2019;1;424.7999999999987
campo_grande;2013;1;373.7999999999999
campo_grande;2017;1;504.1999999999995
campo_grande;2011;1;107.4
campo_grande;2010;1;520.9999999999999
campo_grande;2016;1;382.5999999999998
campo_grande;2012;1;343.5999999999996
campo_grande;2013;2;313.39999999999975
campo_grande;2019;2;689.8000000000021
campo_grande;2018;2;360.39999999999975
campo_grande;2014;2;231.19999999999993
campo_grande;2016;2;185.19999999999996
campo_grande;2011;2;0
campo_grande;2015;2;161.00000000000006
campo_grande;2017;2;147.39999999999995
campo_grande;2012;2;325.59999999999974
campo_grande;2010;2;373.3999999999997
campo_grande;2010;3;254.99999999999991
campo_grande;2017;3;290.59999999999997
campo_grande;2014;3;334.1999999999997
campo_grande;2013;3;406.99999999999994
campo_grande;2012;3;167.59999999999997
campo_grande;2016;3;369.7999999999998
campo_grande;2011;3;0
campo_grande;2019;3;638.8000000000004
campo_grande;2015;3;72.60000000000001
campo_grande;2018;3;393.5999999999996
campo_grande;2016;4;90.80000000000005
campo_grande;2011;4;0
campo_grande;2010;4;205.99999999999997
campo_grande;2015;4;100.00000000000001
campo_grande;2013;4;464.59999999999997
campo_grande;2018;4;135.80000000000004
campo_grande;2017;4;289.1999999999993
campo_grande;2019;4;230.19999999999953
campo_grande;2012;4;353.99999999999955
campo_grande;2014;4;119.00000000000006
campo_grande;2011;5;7.0
campo_grande;2013;5;53.199999999999996
campo_grande;2018;5;166.59999999999988
campo_grande;2017;5;104.60000000000004
campo_grande;2016;5;319.5999999999996
campo_grande;2010;5;113.60000000000063
campo_grande;2014;5;422.19999999999953
campo_grande;2015;5;135.60000000000002
campo_grande;2012;5;176.39999999999992
campo_grande;2019;5;190.00000000000003
campo_grande;2017;6;45.80000000000001
campo_grande;2011;6;34.0
campo_grande;2014;6;134.19999999999993
campo_grande;2019;6;63.4
campo_grande;2018;6;61.40000000000002
campo_grande;2010;6;19.799999999999972
campo_grande;2015;6;40.4
campo_grande;2016;6;94.40000000000009
campo_grande;2013;6;402.3999999999999
campo_grande;2012;6;479.9999999999997
campo_grande;2016;7;23.4
campo_grande;2018;7;3.0
campo_grande;2011;7;13.199999999999996
campo_grande;2012;7;41.6
campo_grande;2015;7;87.20000000000003
campo_grande;2013;7;96.20000000000002
campo_grande;2017;7;0.2
campo_grande;2014;7;119.20000000000007
campo_grande;2019;7;144.99999999999997
campo_grande;2010;7;34.8
campo_grande;2013;8;0.0
campo_grande;2014;8;36.00000000000001
campo_grande;2019;8;3.4
campo_grande;2018;8;338.19999999999925
campo_grande;2011;8;27.4
campo_grande;2010;8;9.8
campo_grande;2015;8;8.6
campo_grande;2016;8;121.60000000000008
campo_grande;2012;8;5.199999999999999
campo_grande;2017;8;38.20000000000002
campo_grande;2018;9;537.400000000001
campo_grande;2016;9;79.40000000000005
campo_grande;2013;9;200.79999999999987
campo_grande;2019;9;104.80000000000001
campo_grande;2014;9;230.2
campo_grande;2012;9;218.59999999999994
campo_grande;2011;9;61.000000000000014
campo_grande;2010;9;184.99999999999943
campo_grande;2017;9;56.200000000000045
campo_grande;2015;9;280.5999999999997
campo_grande;2016;10;109.80000000000008
campo_grande;2012;10;255.79999999999993
campo_grande;2013;10;361.59999999999997
campo_grande;2018;10;776.8000000000017
campo_grande;2019;10;100.60000000000001
campo_grande;2017;10;308.3999999999998
campo_grande;2015;10;95.60000000000002
campo_grande;2014;10;69.0
campo_grande;2010;10;190.79999999999993
campo_grande;2011;10;290.9999999999998
campo_grande;2012;11;374.39999999999986
campo_grande;2014;11;364.7999999999997
campo_grande;2016;11;167.20000000000002
campo_grande;2018;11;820.2000000000024
campo_grande;2015;11;149.99999999999997
campo_grande;2017;11;596.3999999999997
campo_grande;2011;11;304.8
campo_grande;2013;11;413.5999999999996
campo_grande;2019;11;499.79999999999967
campo_grande;2010;11;103.20000000000002
campo_grande;2019;12;948.4000000000017
campo_grande;2015;12;190.7999999999999
campo_grande;2016;12;353.9999999999996
campo_grande;2017;12;407.3999999999995
campo_grande;2013;12;301.7999999999998
campo_grande;2010;12;57.400000000000006
campo_grande;2014;12;417.7999999999992
campo_grande;2018;12;343.5999999999997
campo_grande;2011;12;267.4
campo_grande;2012;12;254.59999999999988
